activity,time,prop,prop_relative,prop_smooth
Hiking,2023-01-01T10:30:00Z,3.57947941285041e-4,0.7076059813663202,0.6846511917705942
Hiking,2023-01-01T10:35:00Z,3.4703795331732885e-4,0.6860386754757686,0.7067431387210714
Hiking,2023-01-01T10:40:00Z,3.675485024390196e-4,0.7265847593211252,0.7167181203677156
Hiking,2023-01-01T10:45:00Z,3.7308570540291094e-4,0.7375309263062533,0.734768040468803
Hiking,2023-01-01T10:50:00Z,3.744300270589961e-4,0.7401884357790305,0.7483559456574055
Hiking,2023-01-01T10:55:00Z,3.881691422444313e-4,0.7673484748869327,0.7825275990324613
Hiking,2023-01-01T11:00:00Z,4.2494368836804513e-4,0.8400458864314205,0.8075318134668947
Hiking,2023-01-01T11:05:00Z,4.123757510181399e-4,0.8152010790823309,0.8161734172413316
Hiking,2023-01-01T11:10:00Z,4.012834079314793e-4,0.7932732862102436,0.8060705058234147
Hiking,2023-01-01T11:15:00Z,4.096117814667816e-4,0.8097371521776693,0.807961538546861
Hiking,2023-01-01T11:20:00Z,4.1524553146694257e-4,0.8208741772526701,0.8225240856273345
Hiking,2023-01-01T11:25:00Z,4.233831380832375e-4,0.8369609274516636,0.8407969916430149
Hiking,2023-01-01T11:30:00Z,4.3734225264077447e-4,0.864555870224711,0.8287855056290955
Hiking,2023-01-01T11:35:00Z,3.970172230424379e-4,0.7848397192109118,0.8089946009209118
Hiking,2023-01-01T11:40:00Z,3.9334899288232786e-4,0.7775882133271128,0.7731446486313432
Hiking,2023-01-01T11:45:00Z,3.829373283390897e-4,0.7570060133560054,0.7758137258025176
Hiking,2023-01-01T11:50:00Z,4.010677428389552e-4,0.7928469507244349,0.7760371917072355
Hiking,2023-01-01T11:55:00Z,3.936881187347692e-4,0.7782586110412664,0.8187874679768677
Hiking,2023-01-01T12:00:00Z,4.478139989003002e-4,0.885256842164902,0.8121131656277618
Hiking,2023-01-01T12:05:00Z,3.909390009333397e-4,0.772824043677117,0.8137039393462876
Hiking,2023-01-01T12:10:00Z,3.9610223418570366e-4,0.783030932196844,0.7870893264724074
Hiking,2023-01-01T12:15:00Z,4.0742437754107114e-4,0.8054130035432613,0.7776935218073856
Hiking,2023-01-01T12:20:00Z,3.766801802402179e-4,0.7446366296820515,0.7644796648681079
Hiking,2023-01-01T12:25:00Z,3.760492399527414e-4,0.7433893613790112,0.7636781831288214
Hiking,2023-01-01T12:30:00Z,4.062080703894501e-4,0.8030085583254012,0.7841256358035795
Hiking,2023-01-01T12:35:00Z,4.077106849936705e-4,0.8059789877063263,0.8370064097685218
Hiking,2023-01-01T12:40:00Z,4.5629968160854e-4,0.9020316832738379,0.8776073340323826
Hiking,2023-01-01T12:45:00Z,4.678229421000748e-4,0.9248113311169835,0.9257814269513197
Hiking,2023-01-01T12:50:00Z,4.8081839396319463e-4,0.9505012664631377,0.9434211568361572
Hiking,2023-01-01T12:55:00Z,4.8306926169989193e-4,0.9549508729283503,0.9684840464638294
Hiking,2023-01-01T13:00:00Z,5.058577099558675e-4,1,0.9481212477756088
Hiking,2023-01-01T13:05:00Z,4.49916357825048e-4,0.8894128703984763,0.9203467085530533
Hiking,2023-01-01T13:10:00Z,4.409193672812877e-4,0.8716272552606834,0.8808789272929975
Hiking,2023-01-01T13:15:00Z,4.459624656201149e-4,0.881596656219833,0.8819438493657349
